"Assignment 1","Points","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"#","Date","Change","","grade","Source Points","Early/Late","Weighted Grade","Server tagged","Client tagged","Static arguments work properly","One client correct connection","One client correct read, write, and behaviors - Atomic","One client correct read, write, and behaviors - Non-atomic","One client correct threads - Atomic","One client correct threads - Non-atomic","One client correct message ratios - Atomic","One client correct message ratios - Non-atomic","Two client correct connection","Two client correct read, write, and behaviors - Atomic","Two client correct read, write, and behaviors - Non-atomic","Two client correct threads - Atomic","Two client correct threads - Non-atomic","Two client correct message ratios - Atomic","Two client correct message ratios - Non-atomic","Read-Write-Update ordering - Atomic","Read-Write-Update ordering - Non-atomic","Server tagged","Client tagged","Static arguments work properly","One client correct connection","One client correct read, write, and behaviors - Atomic","One client correct read, write, and behaviors - Non-atomic","One client correct threads - Atomic","One client correct threads - Non-atomic","One client correct message ratios - Atomic","One client correct message ratios - Non-atomic","Two client correct connection","Two client correct read, write, and behaviors - Atomic","Two client correct read, write, and behaviors - Non-atomic","Two client correct threads - Atomic","Two client correct threads - Non-atomic","Two client correct message ratios - Atomic","Two client correct message ratios - Non-atomic","Read-Write-Update ordering - Atomic","Read-Write-Update ordering - Non-atomic","","",""
"0","Wed Jan 02 02:01:14 EST 2019","0.0","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Wed Jan 02 02:11:56 EST 2019","0.0","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","Wed Jan 02 02:24:13 EST 2019","0.0","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","Wed Jan 02 02:26:54 EST 2019","0.0","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","Wed Jan 02 02:47:55 EST 2019","0.0","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","Wed Jan 02 02:48:22 EST 2019","0.0","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","Wed Jan 02 05:29:12 EST 2019","20.0","","20.0","","1.0","20.0","5.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.0","0.0","0.0","0.0","0.0","0.0","1.7","3.3","0.0","0.0","Server tagged                                          %.1f /  5.0","Client tagged                                          %.1f /  5.0","Static arguments work properly                         %.1f / 20.0","One client correct connection                          %.1f / 20.0","One client correct read, write, and behaviors - Atomic %.1f / 35.0","One client correct read, write, and behaviors - Non-atomic %.1f / 35.0","One client correct threads - Atomic                    %.1f /  5.0","One client correct threads - Non-atomic                %.1f /  5.0","One client correct message ratios - Atomic             %.1f / 10.0","One client correct message ratios - Non-atomic         %.1f / 10.0","Two client correct connection                          %.1f / 20.0","Two client correct read, write, and behaviors - Atomic %.1f / 35.0","Two client correct read, write, and behaviors - Non-atomic %.1f / 35.0","Two client correct threads - Atomic                    %.1f /  5.0","Two client correct threads - Non-atomic                %.1f /  5.0","Two client correct message ratios - Atomic             %.1f / 10.0","Two client correct message ratios - Non-atomic         %.1f / 10.0","Read-Write-Update ordering - Atomic                    %.1f / 10.0","Read-Write-Update ordering - Non-atomic                %.1f / 10.0","","",""
"7","Wed Jan 02 05:56:00 EST 2019","-20.0","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","Wed Jan 02 05:57:05 EST 2019","0.0","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","Wed Jan 02 06:06:13 EST 2019","0.0","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
