"Assignment 1","Points","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"#","Date","Change","","grade","Source Points","Early/Late","Weighted Grade","Server tagged","Client tagged","Registry tagged","Two client correct connection","Two client correct read, write, and behaviors - Atomic","Two client correct read, write, and behaviors - Non-Atomic","Server tagged","Client tagged","Registry tagged","Two client correct connection","Two client correct read, write, and behaviors - Atomic","Two client correct read, write, and behaviors - Non-Atomic","","",""
"0","Thu Apr 26 16:00:58 EDT 2018","7.5","","7.5","","1.0","7.5","2.5","2.5","2.5","0.0","0.0","0.0","Server tagged                                          %.1f /  5.0","Client tagged                                          %.1f /  5.0","Registry tagged                                        %.1f /  5.0","Two client correct connection                          %.1f / 20.0","Two client correct read, write, and behaviors - Atomic %.1f / 20.0","Two client correct read, write, and behaviors - Non-Atomic %.1f / 20.0","","",""
"1","Thu Apr 26 16:11:39 EDT 2018","-7.5","","0.0","","","","","","","","","","","","","","","","","",""
"2","Thu Apr 26 16:15:41 EDT 2018","0.0","","0.0","","","","","","","","","","","","","","","","","",""
"3","Thu Apr 26 16:31:21 EDT 2018","7.5","","7.5","","1.0","7.5","2.5","2.5","2.5","0.0","0.0","0.0","Server tagged                                          %.1f /  5.0","Client tagged                                          %.1f /  5.0","Registry tagged                                        %.1f /  5.0","Two client correct connection                          %.1f / 20.0","Two client correct read, write, and behaviors - Atomic %.1f / 20.0","Two client correct read, write, and behaviors - Non-Atomic %.1f / 20.0","","",""
"4","Thu Apr 26 16:52:31 EDT 2018","-7.5","","0.0","","","","","","","","","","","","","","","","","",""
"5","Thu Apr 26 16:57:57 EDT 2018","0.0","","0.0","","","","","","","","","","","","","","","","","",""
"6","Thu Apr 26 16:58:56 EDT 2018","0.0","","0.0","","","","","","","","","","","","","","","","","",""
"7","Thu Apr 26 17:03:40 EDT 2018","7.5","","7.5","","1.0","7.5","2.5","2.5","2.5","0.0","Server tagged                                          %.1f /  5.0","Client tagged                                          %.1f /  5.0","Registry tagged                                        %.1f /  5.0","Two client correct connection                          %.1f / 20.0","","","","","","",""
"8","Thu Apr 26 17:14:32 EDT 2018","6.6","","14.1","","1.0","14.1","2.5","2.5","2.5","6.6","Server tagged                                          %.1f /  5.0","Client tagged                                          %.1f /  5.0","Registry tagged                                        %.1f /  5.0","Two client correct connection                          %.1f / 20.0","","","","","","",""
"9","Thu Apr 26 17:41:55 EDT 2018","9.4","","23.5","","1.0","23.5","2.5","2.5","2.5","16.0","Server tagged                                          %.1f /  5.0","Client tagged                                          %.1f /  5.0","Registry tagged                                        %.1f /  5.0","Two client correct connection                          %.1f / 20.0","","","","","","",""
